SDS 2.3 RQ Results	1.2
Filename	145A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-145-A
Run DateTime	Sun Jul 18 14:24:02 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
204	Analyzed	hsa-miR-383-4373018	CNMP-145-A	Target	38.318	18.791		0.000	1.000	false	0/1	false				
205	Analyzed	hsa-miR-384-4373017	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
206	Analyzed	hsa-miR-409-5p-4395442	CNMP-145-A	Target	39.168	19.642		0.000	1.000	false	0/1	false				
207	Analyzed	hsa-miR-410-4378093	CNMP-145-A	Target	34.739	15.213		0.000	1.000	false	0/1	false				
208	Analyzed	hsa-miR-411-4381013	CNMP-145-A	Target	36.290	16.764		0.000	1.000	false	0/1	false				
209	Analyzed	hsa-miR-412-4373199	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
210	Analyzed	hsa-miR-422a-4395408	CNMP-145-A	Target	30.279	10.753		0.000	1.000	false	0/1	false				
211	Analyzed	hsa-miR-423-5p-4395451	CNMP-145-A	Target	33.372	13.845		0.000	1.000	false	0/1	false				
212	Analyzed	hsa-miR-424-4373201	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
213	Analyzed	hsa-miR-425-4380926	CNMP-145-A	Target	28.721	9.195		0.000	1.000	false	0/1	false				
214	Analyzed	hsa-miR-429-4373203	CNMP-145-A	Target	28.240	8.714		0.000	1.000	false	0/1	false				
215	Analyzed	hsa-miR-431-4395173	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
216	Analyzed	hsa-miR-433-4373205	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
217	Analyzed	hsa-miR-448-4373206	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
218	Analyzed	hsa-miR-449a-4373207	CNMP-145-A	Target	32.496	12.969		0.000	1.000	false	0/1	false				
219	Analyzed	hsa-miR-449b-4381011	CNMP-145-A	Target	33.782	14.256		0.000	1.000	false	0/1	false				
220	Analyzed	hsa-miR-450a-4395414	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
221	Analyzed	hsa-miR-450b-3p-4395319	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
222	Analyzed	hsa-miR-450b-5p-4395318	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
223	Analyzed	hsa-miR-451-4373360	CNMP-145-A	Target	31.249	11.723		0.000	1.000	false	0/1	false				
224	Analyzed	hsa-miR-452-4395440	CNMP-145-A	Target	31.302	11.776		0.000	1.000	false	0/1	false				
225	Analyzed	hsa-miR-453-4395429	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
